round,max_value,better_idx,last_values
1,1049,0,1028
1,1049,0,1019
1,1049,0,1037
1,1049,0,993
1,1049,0,962
1,1049,0,1037
1,1065,89,1031
1,1049,0,919
1,1050,88,1050
1,1049,0,891
2,1238,92,1238
2,1159,95,1159
